invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall
29-313-8329,484408828,Male,42,Food,5,38,Cash,26-04-2022,SM City Cebu
36-095-3043,3785628250,Female,79,Home Goods,4,1614,Debit,22-04-2022,SM City Fairview
69-330-5244,117642266,Female,80,Beauty,2,1296,Credit Card,29-09-2022,SM Mall of Asia
13-249-5924,4154828940,Male,40,Sports Equipment,1,1447,Credit Card,07-11-2021,SM Megamall
37-106-7356,7520213056,Male,24,Clothing,2,1150,Debit,09-09-2023,SM Seaside City Cebu
94-260-6665,3508652815,Male,56,Food,4,1885,Credit Card,11-12-2022,SM Seaside City Cebu
89-339-8956,7730488132,Male,16,Electronics,2,1691,Credit Card,16-11-2022,SM Seaside City Cebu
34-516-3364,7150226825,Male,62,Music,2,900,Cash,06-04-2022,SM City Cebu
55-860-4892,1904122248,Female,39,Pet Supplies,5,1260,Debit,31-03-2023,SM Megamall
78-089-6341,1000833852,Female,61,Home Goods,3,1638,Credit Card,07-08-2021,SM Megamall
53-241-5535,6916295031,Male,66,Books,1,1321,Cash,22-03-2021,SM City North EDSA
90-432-4177,3791341693,Male,56,Electronics,5,589,Credit Card,27-09-2022,SM City Fairview
29-444-5908,1652304991,Male,73,Toys,5,1891,Credit Card,24-09-2022,SM City Cebu
53-304-0731,2492671399,Female,42,Toys,3,945,Debit,21-03-2023,SM Mall of Asia
55-091-7895,3787491546,Male,38,Beauty,1,167,Cash,06-05-2022,SM Megamall
45-119-2832,6499719579,Male,38,Home Goods,5,800,Debit,26-11-2021,SM Megamall
26-879-9513,3494036853,Female,54,Beauty,1,796,Credit Card,01-03-2022,SM City North EDSA
51-102-2258,2931503673,Male,70,Electronics,5,197,Cash,01-11-2023,SM City Cebu
49-278-6376,3620172412,Female,70,Books,2,1160,Cash,20-07-2023,SM Mall of Asia
16-931-6577,8177970356,Female,44,Sports Equipment,3,1507,Debit,05-01-2021,SM City Fairview
67-613-2953,9967824565,Male,57,Beauty,3,275,Cash,11-12-2022,SM City North EDSA
46-082-0115,7700675740,Female,54,Music,3,1326,Cash,09-12-2023,SM Seaside City Cebu
34-540-2743,4179675129,Female,25,Pet Supplies,2,1636,Cash,31-10-2023,SM Mall of Asia
04-875-8646,9283662733,Female,59,Clothing,1,979,Cash,24-01-2021,SM City Fairview
25-342-5969,1691143316,Female,54,Electronics,2,1126,Debit,23-07-2022,SM City Cebu
87-043-5181,9047344111,Female,53,Home Goods,3,1246,Credit Card,19-02-2022,SM Seaside City Cebu
10-963-2316,1449009034,Male,38,Books,5,784,Credit Card,07-02-2021,SM City North EDSA
92-083-4562,8711002379,Male,75,Sports Equipment,4,793,Cash,01-07-2022,SM City North EDSA
80-826-4137,1401819362,Female,34,Beauty,2,912,Debit,04-06-2021,SM City North EDSA
67-930-3868,2355024812,Male,70,Clothing,3,1144,Cash,19-11-2022,SM Seaside City Cebu
55-588-1628,8178305097,Male,51,Home Goods,3,922,Credit Card,03-10-2021,SM Mall of Asia
51-324-6370,187900515,Male,72,Clothing,4,1697,Credit Card,09-10-2022,SM City Cebu
52-517-6984,8649091091,Male,56,Clothing,2,1456,Credit Card,10-01-2021,SM Megamall
08-363-1623,2162200937,Female,35,Sports Equipment,2,497,Cash,14-02-2022,SM City North EDSA
69-184-7944,4195194040,Female,69,Sports Equipment,5,602,Credit Card,05-11-2022,SM City Cebu
05-837-4072,2814709267,Male,34,Food,3,1899,Cash,23-06-2023,SM City Fairview
02-808-9993,593515137,Female,21,Sports Equipment,3,1561,Cash,16-02-2023,SM City Cebu
36-447-7839,1618563637,Male,70,Food,2,710,Credit Card,27-10-2023,SM City Fairview
01-759-9481,5220908618,Female,27,Sports Equipment,5,1418,Debit,06-08-2021,SM Megamall
57-911-4599,1480541273,Male,60,Clothing,3,813,Credit Card,07-10-2021,SM Seaside City Cebu
00-232-8924,3187551920,Female,53,Food,4,180,Debit,29-01-2022,SM City North EDSA
43-162-6135,4352310662,Female,66,Sports Equipment,4,1514,Debit,02-06-2023,SM Megamall
92-537-2243,9082155354,Female,31,Sports Equipment,1,1707,Cash,09-02-2022,SM Megamall
68-403-8750,8749665383,Male,48,Home Goods,2,1664,Cash,05-11-2021,SM Mall of Asia
78-363-4779,4825813135,Female,17,Music,3,1948,Debit,07-06-2021,SM City North EDSA
48-735-0590,5430452998,Female,50,Electronics,1,10,Credit Card,22-04-2022,SM City North EDSA
80-502-0111,6497924477,Male,80,Music,3,1700,Cash,08-07-2022,SM Megamall
80-685-5077,9261847544,Male,63,Beauty,1,1361,Credit Card,29-08-2023,SM Seaside City Cebu
90-103-8588,461900866,Female,47,Sports Equipment,3,166,Debit,03-02-2021,SM City North EDSA
98-905-0743,1362760900,Female,55,Food,4,161,Debit,01-03-2023,SM City North EDSA
88-144-4267,4593979374,Male,60,Clothing,5,1857,Credit Card,31-08-2023,SM Megamall
67-727-1602,3474960865,Female,31,Books,5,1218,Cash,02-03-2023,SM Mall of Asia
31-747-7513,4092889429,Male,69,Pet Supplies,4,1942,Debit,15-01-2023,SM City Fairview
15-053-3721,1988861896,Female,26,Home Goods,1,56,Debit,19-01-2023,SM City North EDSA
04-937-4676,8600283221,Male,27,Toys,3,693,Cash,26-10-2023,SM City North EDSA
66-331-0030,5316423062,Female,64,Beauty,5,880,Debit,06-08-2021,SM Megamall
77-164-7450,6446927940,Female,34,Pet Supplies,1,83,Cash,30-12-2021,SM City Cebu
13-774-4338,1683491858,Female,77,Sports Equipment,1,1357,Debit,04-02-2021,SM City North EDSA
48-941-7360,8916127971,Female,56,Electronics,4,838,Cash,12-05-2023,SM Seaside City Cebu
18-387-9877,6220300947,Male,21,Beauty,2,461,Cash,07-08-2023,SM City Fairview
38-655-8038,2350018121,Female,71,Music,2,1714,Debit,01-01-2021,SM Mall of Asia
95-670-2026,8955791216,Female,38,Books,3,1254,Cash,25-11-2022,SM Megamall
33-595-3873,2332911243,Male,51,Home Goods,2,182,Credit Card,11-03-2022,SM Megamall
02-302-1973,2347229176,Female,46,Pet Supplies,3,1346,Credit Card,19-11-2022,SM City Cebu
73-311-6654,6002689915,Female,19,Toys,2,191,Debit,19-08-2022,SM Megamall
89-423-7555,7944342287,Male,61,Books,1,951,Debit,21-12-2023,SM Seaside City Cebu
64-552-8804,5324554979,Female,75,Books,3,1738,Cash,20-05-2022,SM City Cebu
79-651-5040,9933597744,Male,20,Beauty,1,804,Cash,08-05-2022,SM Mall of Asia
05-602-2125,5475945772,Female,63,Food,5,1588,Debit,05-01-2023,SM City Cebu
69-212-8302,4170280512,Male,31,Clothing,1,1857,Credit Card,18-02-2023,SM City North EDSA
92-353-1872,162979649,Male,67,Home Goods,5,1972,Credit Card,17-07-2021,SM Seaside City Cebu
29-849-4458,2526109256,Male,34,Electronics,4,72,Cash,28-07-2021,SM Mall of Asia
76-514-8605,9859768153,Female,76,Clothing,1,294,Debit,07-05-2021,SM City Cebu
06-613-9148,5873451508,Female,38,Books,4,1537,Cash,01-07-2022,SM City North EDSA
65-419-1367,3622458208,Female,27,Books,3,245,Credit Card,27-10-2021,SM City Cebu
69-743-4521,8047448757,Male,61,Sports Equipment,3,1917,Cash,12-08-2023,SM Megamall
22-557-6047,5797892235,Female,39,Electronics,5,1338,Credit Card,20-07-2021,SM City Fairview
21-719-1583,9283526651,Male,32,Music,2,1681,Credit Card,28-03-2022,SM Mall of Asia
04-555-2829,6712962145,Female,79,Food,4,550,Cash,08-04-2023,SM City Fairview
40-895-3427,6306468277,Male,33,Beauty,3,1038,Credit Card,18-05-2021,SM Mall of Asia
62-591-6671,7494306552,Male,56,Home Goods,4,879,Credit Card,21-06-2021,SM Seaside City Cebu
35-102-0513,7945424155,Male,76,Home Goods,2,1283,Cash,29-10-2022,SM Seaside City Cebu
20-393-4474,1331157420,Male,77,Electronics,4,234,Debit,30-11-2022,SM Megamall
10-632-0697,5393741170,Male,47,Pet Supplies,2,927,Cash,17-07-2021,SM Megamall
21-316-1163,5832412397,Male,53,Toys,5,542,Debit,30-05-2022,SM Megamall
11-401-3253,8121249554,Male,38,Food,3,847,Debit,21-01-2023,SM Megamall
07-003-1389,5595906642,Male,18,Clothing,2,6,Cash,07-07-2022,SM Megamall
79-379-4184,7292455506,Female,39,Home Goods,3,1557,Credit Card,25-02-2021,SM City Fairview
99-258-1307,3565515546,Male,52,Books,4,1274,Cash,10-02-2023,SM City Fairview
92-594-3256,2945270374,Male,73,Electronics,4,788,Cash,21-02-2023,SM City Cebu
94-821-6410,1574990772,Male,48,Sports Equipment,2,1208,Debit,11-08-2023,SM City Fairview
38-475-5244,5385191930,Female,70,Clothing,2,1102,Debit,14-01-2023,SM City Fairview
13-629-5996,8707612214,Female,46,Home Goods,1,919,Credit Card,30-07-2022,SM Seaside City Cebu
59-810-1340,8594161034,Male,19,Home Goods,2,1220,Credit Card,10-10-2022,SM City North EDSA
97-639-6837,7974172339,Male,71,Clothing,3,915,Cash,18-05-2021,SM City Fairview
23-820-4407,3321266032,Female,36,Beauty,1,1169,Debit,08-01-2022,SM Seaside City Cebu
28-222-2421,7075384821,Male,41,Sports Equipment,3,1177,Cash,25-01-2022,SM City North EDSA
73-917-8726,577887122,Female,27,Music,2,1481,Debit,11-04-2022,SM City North EDSA
68-541-5327,7368640481,Male,61,Clothing,1,797,Debit,16-10-2021,SM City Fairview
99-116-5725,6164634431,Female,18,Food,2,220,Cash,25-08-2022,SM Seaside City Cebu
44-823-7318,6139198844,Female,46,Clothing,3,639,Debit,30-10-2023,SM Seaside City Cebu
86-199-8158,8439718772,Male,50,Sports Equipment,5,1681,Cash,27-05-2023,SM City Cebu
26-051-1066,7130523085,Female,56,Music,5,270,Credit Card,29-03-2023,SM City Cebu
81-355-5349,7954659623,Female,69,Clothing,1,1528,Debit,10-03-2021,SM Megamall
46-993-4891,2979089648,Female,26,Books,5,299,Cash,01-01-2021,SM City Fairview
41-346-3238,2969937344,Female,76,Clothing,1,747,Credit Card,13-03-2021,SM Seaside City Cebu
03-272-4414,3332491040,Female,75,Electronics,4,240,Credit Card,17-05-2021,SM Mall of Asia
40-109-1283,5903294278,Male,45,Clothing,5,528,Debit,19-05-2021,SM Seaside City Cebu
28-765-7452,7737433325,Male,59,Food,3,266,Cash,26-07-2023,SM City North EDSA
99-453-3144,5248551935,Male,68,Sports Equipment,4,107,Cash,20-08-2021,SM Megamall
98-943-3167,7340544909,Male,63,Books,5,1159,Credit Card,27-06-2022,SM Megamall
11-377-4076,6260638833,Male,36,Food,2,1683,Cash,16-06-2021,SM Seaside City Cebu
20-806-4567,3280260817,Female,27,Pet Supplies,4,456,Credit Card,22-12-2023,SM City Cebu
03-708-0820,5089842744,Male,74,Electronics,4,1591,Debit,07-07-2022,SM Seaside City Cebu
90-119-6845,1574321676,Female,22,Books,5,1420,Credit Card,06-08-2021,SM Seaside City Cebu
36-786-1788,4103344016,Female,68,Pet Supplies,1,825,Credit Card,24-12-2022,SM City North EDSA
06-264-0261,2029360112,Female,51,Pet Supplies,5,590,Credit Card,08-08-2022,SM Seaside City Cebu
32-207-8469,7436735586,Male,67,Pet Supplies,2,1252,Cash,27-10-2021,SM Mall of Asia
23-204-4828,8115799572,Male,31,Sports Equipment,5,1006,Credit Card,01-01-2023,SM City Fairview
21-008-7524,5217934042,Male,56,Food,1,1046,Debit,14-08-2021,SM City North EDSA
94-355-0253,6865974387,Female,17,Clothing,4,1874,Credit Card,03-12-2022,SM City Fairview
61-278-1460,8502384414,Male,38,Food,3,1450,Credit Card,15-02-2023,SM Mall of Asia
50-388-6272,9461646925,Female,57,Clothing,4,60,Cash,16-12-2021,SM Mall of Asia
75-608-2336,2173396137,Female,56,Beauty,5,1945,Cash,02-07-2023,SM City Fairview
17-402-2931,7782537738,Male,77,Music,1,1162,Debit,16-06-2023,SM Megamall
77-373-5288,1695819772,Female,62,Electronics,3,393,Cash,06-11-2023,SM Mall of Asia
32-079-5929,7710758401,Male,76,Clothing,4,406,Cash,09-07-2021,SM Seaside City Cebu
00-069-1641,339908351,Male,43,Home Goods,1,101,Debit,24-03-2021,SM City Fairview
73-447-3877,8955620675,Male,19,Books,3,6,Credit Card,07-04-2021,SM City Cebu
85-673-0312,526406275,Male,50,Home Goods,1,1893,Credit Card,13-05-2023,SM City Fairview
36-256-5774,5545370544,Male,58,Home Goods,1,1997,Debit,28-04-2023,SM City Fairview
33-044-3446,3787133437,Female,52,Home Goods,1,176,Debit,15-02-2021,SM City North EDSA
87-832-7395,7970900542,Female,35,Beauty,5,737,Cash,15-02-2023,SM City Cebu
15-234-9312,1821865405,Female,73,Pet Supplies,4,191,Cash,29-06-2021,SM City North EDSA
56-655-9518,3160046001,Female,34,Food,5,1384,Debit,13-06-2023,SM City Cebu
20-229-6130,6556246255,Female,77,Music,1,1791,Debit,23-08-2021,SM City Cebu
02-960-8864,9905030662,Male,68,Sports Equipment,5,578,Credit Card,04-05-2022,SM City Cebu
75-830-5888,8150513825,Female,19,Home Goods,3,1363,Credit Card,17-05-2021,SM City Fairview
96-848-2483,8127921351,Female,39,Food,1,497,Debit,22-07-2022,SM City Fairview
05-347-6016,6880320597,Male,42,Pet Supplies,1,276,Debit,11-07-2022,SM Megamall
53-134-9319,8636164273,Female,66,Sports Equipment,1,857,Cash,26-05-2021,SM Seaside City Cebu
76-789-7632,5311796200,Female,28,Beauty,3,178,Debit,23-10-2022,SM City Cebu
07-777-2314,2291266357,Male,72,Clothing,1,409,Debit,15-11-2022,SM Seaside City Cebu
65-701-4132,5234031284,Male,42,Home Goods,1,1686,Credit Card,13-08-2023,SM Seaside City Cebu
10-949-7316,4855152625,Female,49,Sports Equipment,4,940,Cash,10-10-2021,SM City Cebu
09-203-0350,5767564345,Female,38,Beauty,2,1142,Credit Card,01-12-2022,SM City Fairview
52-717-0263,1882092414,Male,38,Sports Equipment,1,1463,Cash,27-07-2023,SM Seaside City Cebu
86-563-5181,9556136169,Male,27,Clothing,1,1513,Cash,22-03-2023,SM City North EDSA
61-415-5443,2755488352,Female,22,Music,3,500,Cash,25-07-2021,SM City Fairview
48-042-2889,967767415,Male,22,Toys,2,1177,Cash,28-06-2021,SM Megamall
29-096-7056,2244751406,Male,57,Home Goods,3,1861,Cash,20-05-2022,SM Mall of Asia
00-920-3926,1961274981,Male,20,Toys,1,745,Cash,06-02-2022,SM Megamall
54-987-6816,2947292294,Female,45,Beauty,1,363,Cash,28-01-2022,SM Megamall
02-441-4221,6500168046,Female,36,Clothing,3,1977,Debit,11-02-2022,SM Megamall
94-582-6149,1918264430,Male,51,Electronics,5,158,Credit Card,22-02-2023,SM City North EDSA
90-475-6295,3115680252,Male,66,Pet Supplies,3,1015,Debit,01-05-2022,SM City Cebu
32-165-2326,666236380,Female,24,Music,3,96,Cash,01-11-2023,SM City Cebu
22-354-1553,8090316670,Female,71,Beauty,4,772,Cash,16-09-2022,SM Megamall
86-308-1850,7574452253,Female,27,Toys,1,1128,Debit,12-11-2023,SM City North EDSA
70-937-1456,8483323443,Male,38,Toys,3,1336,Cash,14-07-2023,SM Mall of Asia
94-880-6802,8492103876,Male,42,Books,5,1615,Debit,20-09-2023,SM City Fairview
21-229-6195,2792499567,Female,31,Toys,5,1340,Debit,18-06-2021,SM Mall of Asia
97-583-9672,9835795460,Female,27,Music,5,98,Cash,23-08-2022,SM City North EDSA
54-797-5142,505096137,Female,33,Electronics,1,646,Credit Card,30-04-2021,SM Seaside City Cebu
34-863-2587,7902520950,Female,51,Food,1,1507,Debit,09-12-2021,SM Mall of Asia
07-191-9922,7927411969,Male,52,Home Goods,5,1457,Cash,20-03-2022,SM City North EDSA
25-553-5117,3821620897,Female,26,Clothing,3,910,Cash,27-10-2023,SM City Fairview
36-099-0466,1442403055,Female,66,Music,3,1941,Cash,18-09-2023,SM City North EDSA
01-593-9637,2667976037,Female,33,Toys,3,1293,Debit,16-01-2021,SM Seaside City Cebu
81-200-2248,4905644461,Female,65,Music,4,429,Cash,04-02-2023,SM Megamall
35-373-5350,7021966768,Male,29,Music,4,1431,Debit,22-10-2021,SM City Cebu
47-870-6012,9184189029,Male,63,Home Goods,3,826,Debit,01-05-2023,SM Mall of Asia
48-569-7386,5587050475,Female,45,Home Goods,4,101,Debit,04-04-2022,SM City North EDSA
26-864-9281,8634406202,Female,25,Home Goods,1,155,Credit Card,05-09-2023,SM Mall of Asia
87-181-6103,3511095301,Male,18,Sports Equipment,4,331,Cash,22-03-2021,SM City Fairview
15-984-5045,7599862854,Male,21,Sports Equipment,1,1079,Cash,21-04-2022,SM Megamall
84-551-2944,3069593453,Female,60,Books,2,696,Cash,21-08-2022,SM City Fairview
15-939-2361,6568086665,Male,26,Pet Supplies,1,860,Debit,17-04-2021,SM City Cebu
04-785-2653,8498882419,Male,28,Sports Equipment,1,1183,Debit,18-06-2022,SM City Cebu
40-077-6243,2407679350,Male,44,Pet Supplies,3,1662,Debit,31-03-2021,SM City Fairview
44-121-7634,7735591896,Female,61,Electronics,4,1018,Credit Card,29-05-2023,SM City Fairview
75-780-5407,6837697900,Female,68,Food,1,327,Cash,13-08-2021,SM Mall of Asia
87-811-6362,9962824559,Male,27,Music,2,1704,Cash,26-12-2021,SM Mall of Asia
91-494-8393,8091131399,Male,56,Sports Equipment,2,521,Debit,05-07-2023,SM Mall of Asia
67-704-4298,4607669288,Male,75,Pet Supplies,5,43,Credit Card,03-11-2023,SM City North EDSA
30-768-6949,4312052921,Female,50,Music,5,950,Debit,03-09-2021,SM City Fairview
60-556-1489,7647855263,Male,48,Home Goods,1,1439,Cash,07-11-2021,SM Seaside City Cebu
65-391-0724,7456462992,Male,34,Food,1,1746,Debit,09-01-2023,SM Megamall
11-078-3791,9309768215,Male,59,Music,2,612,Cash,18-10-2023,SM Megamall
79-541-2902,3660814288,Female,75,Clothing,5,1388,Debit,15-06-2023,SM City Fairview
25-155-2765,7799632348,Male,80,Sports Equipment,4,1157,Debit,03-09-2022,SM Mall of Asia
76-054-5787,7748320764,Male,29,Sports Equipment,2,870,Cash,13-02-2022,SM Seaside City Cebu
55-573-2764,8021253827,Female,70,Home Goods,3,780,Credit Card,14-01-2023,SM City North EDSA
53-961-0262,5540424514,Male,32,Books,3,214,Debit,15-11-2023,SM Mall of Asia
65-606-8888,4064396170,Male,17,Books,2,682,Cash,01-05-2021,SM City Fairview
62-539-0745,5031443073,Male,15,Food,1,1805,Credit Card,12-06-2023,SM City North EDSA
70-238-5537,2840259567,Female,79,Sports Equipment,4,1669,Cash,25-12-2022,SM City Cebu
10-796-4551,3081085896,Female,59,Beauty,1,1970,Cash,13-11-2022,SM City Cebu
20-598-6318,3728493147,Female,30,Beauty,5,191,Credit Card,13-11-2022,SM Megamall
54-604-5123,5216314652,Male,19,Food,2,1865,Debit,31-05-2023,SM Megamall
14-574-2472,8167034038,Male,25,Books,2,939,Cash,21-09-2023,SM Megamall
17-099-7697,8728595629,Female,43,Sports Equipment,4,1168,Credit Card,02-09-2021,SM Seaside City Cebu
49-946-9436,7552620196,Male,15,Toys,4,1987,Debit,25-07-2021,SM City North EDSA
05-762-1681,2967828106,Female,80,Music,1,1471,Debit,12-09-2022,SM City Cebu
97-539-8642,3516674520,Female,66,Clothing,3,1292,Cash,14-01-2021,SM City Cebu
06-685-1976,6806581307,Male,19,Music,5,1334,Cash,30-05-2023,SM Seaside City Cebu
05-852-3420,3936581746,Male,43,Music,3,679,Credit Card,20-04-2023,SM City Fairview
88-868-8221,9063459688,Male,43,Food,5,1618,Credit Card,24-01-2023,SM Mall of Asia
53-255-2350,9020395300,Male,74,Books,2,820,Credit Card,13-05-2021,SM City North EDSA
91-657-3316,4036484923,Female,65,Electronics,2,288,Debit,25-01-2021,SM Megamall
65-527-4731,5618740052,Female,31,Electronics,2,866,Cash,05-07-2022,SM City Cebu
88-401-7830,1529755328,Male,34,Home Goods,4,550,Credit Card,15-09-2021,SM City Cebu
50-110-7180,6028775606,Female,20,Home Goods,1,1024,Cash,27-10-2021,SM City North EDSA
69-203-2745,3517508586,Female,43,Toys,1,1655,Credit Card,17-04-2023,SM City Cebu
65-832-9904,6477029677,Female,17,Music,4,1890,Cash,13-05-2023,SM Seaside City Cebu
14-215-3503,5048057546,Male,28,Food,1,1993,Cash,20-06-2022,SM City Fairview
63-768-0894,6734138305,Male,59,Sports Equipment,2,831,Cash,03-04-2021,SM Seaside City Cebu
57-565-8746,9171998136,Male,19,Food,1,1863,Cash,16-07-2021,SM Mall of Asia
74-460-9498,4201457052,Female,42,Home Goods,3,830,Cash,13-04-2023,SM Megamall
86-122-3173,9160458348,Female,33,Books,2,149,Debit,10-03-2022,SM City Fairview
87-620-8251,9874234989,Female,64,Electronics,5,1102,Debit,28-12-2023,SM City Fairview
93-517-5360,1617263869,Male,67,Food,4,907,Credit Card,11-05-2021,SM Mall of Asia
62-140-3828,9987729169,Male,66,Home Goods,1,750,Cash,10-11-2021,SM Mall of Asia
05-843-1537,1303310546,Female,67,Home Goods,3,857,Credit Card,21-08-2023,SM Seaside City Cebu
16-506-8280,1015890172,Male,72,Electronics,5,1473,Cash,25-08-2022,SM City Cebu
92-913-3219,9575260759,Male,39,Sports Equipment,3,299,Cash,29-06-2023,SM City North EDSA
11-078-0073,4685805631,Male,60,Clothing,1,192,Credit Card,09-01-2021,SM Mall of Asia
89-076-6059,8631005703,Female,65,Pet Supplies,2,118,Credit Card,01-02-2021,SM Mall of Asia
50-337-1634,3150221277,Female,52,Books,5,1617,Cash,22-12-2021,SM City North EDSA
09-703-1666,9576069696,Male,78,Sports Equipment,2,447,Debit,28-09-2022,SM City North EDSA
23-384-0790,8479230134,Female,48,Clothing,5,220,Debit,22-04-2023,SM Megamall
96-421-0087,1622234898,Male,70,Home Goods,5,1081,Debit,25-12-2023,SM City North EDSA
13-662-0566,8371961022,Female,35,Music,2,869,Cash,04-05-2023,SM City North EDSA
90-316-3999,4182578422,Female,80,Music,4,611,Debit,27-01-2021,SM Mall of Asia
25-884-9774,7581085422,Male,54,Pet Supplies,1,783,Debit,04-09-2022,SM City North EDSA
41-791-6549,6370482005,Female,15,Food,1,1126,Debit,01-07-2022,SM City Cebu
00-544-7152,4022002670,Male,30,Clothing,4,1989,Cash,02-11-2022,SM Megamall
64-926-7155,4620064912,Male,77,Home Goods,3,1885,Cash,25-06-2021,SM City Fairview
53-200-2023,7291831792,Male,34,Sports Equipment,3,328,Credit Card,26-04-2021,SM City Cebu
07-971-7052,4232133003,Female,49,Electronics,4,474,Credit Card,16-11-2023,SM City Fairview
53-163-3539,6166496559,Female,33,Sports Equipment,5,1350,Cash,18-07-2021,SM Mall of Asia
27-841-5556,1109357303,Male,35,Pet Supplies,4,1190,Debit,23-04-2023,SM Seaside City Cebu
79-610-5816,5970638196,Male,29,Beauty,5,206,Cash,28-03-2022,SM Megamall
16-455-0286,1801138818,Male,41,Electronics,3,1903,Credit Card,24-06-2022,SM City North EDSA
04-990-0273,3951931418,Female,64,Food,4,1651,Credit Card,04-04-2021,SM Seaside City Cebu
60-230-2853,2432228987,Female,43,Music,2,1198,Debit,19-11-2023,SM Megamall
93-129-5003,4644237892,Female,31,Books,2,946,Cash,16-03-2023,SM Mall of Asia
00-530-9298,3245272308,Male,55,Toys,5,1321,Credit Card,01-06-2023,SM Megamall
98-280-8829,823984079,Male,54,Pet Supplies,3,340,Debit,21-11-2022,SM City North EDSA
13-600-6318,9041042458,Male,15,Clothing,3,967,Credit Card,07-03-2023,SM Mall of Asia
76-282-8530,6412323457,Male,29,Sports Equipment,3,1262,Cash,14-08-2021,SM Seaside City Cebu
84-494-2010,3757468899,Female,41,Music,4,325,Credit Card,20-09-2021,SM Mall of Asia
45-344-4015,3036916431,Female,32,Home Goods,4,1586,Cash,28-03-2023,SM Megamall
52-698-8530,8045459565,Female,22,Pet Supplies,1,748,Cash,01-04-2022,SM Mall of Asia
72-642-9820,5704196845,Female,68,Food,5,1397,Debit,22-03-2023,SM Megamall
01-970-7455,8986441845,Male,35,Beauty,1,1396,Cash,29-06-2021,SM Megamall
64-045-7809,2619812437,Male,72,Pet Supplies,2,216,Debit,06-08-2022,SM City Cebu
37-365-7798,7882270555,Female,36,Electronics,4,1647,Credit Card,22-01-2023,SM Seaside City Cebu
65-325-6185,4861460093,Female,16,Sports Equipment,4,254,Cash,21-06-2021,SM City Cebu
42-951-4092,9352479467,Female,53,Clothing,2,1429,Credit Card,09-01-2023,SM City North EDSA
72-017-2891,5718046964,Female,20,Music,2,1509,Cash,08-09-2023,SM Megamall
62-669-8897,772223041,Male,35,Beauty,2,683,Cash,04-08-2023,SM Megamall
12-038-0907,5411882443,Female,34,Beauty,3,65,Cash,03-01-2023,SM City Cebu
71-372-4278,4769859716,Male,23,Sports Equipment,4,807,Cash,27-03-2022,SM Mall of Asia
85-893-5499,78922658,Female,46,Music,5,16,Debit,29-08-2022,SM Mall of Asia
29-186-9725,9144518226,Male,43,Electronics,2,1859,Credit Card,19-12-2023,SM Mall of Asia
81-863-2018,3690178657,Female,51,Music,5,1654,Credit Card,22-02-2021,SM Seaside City Cebu
44-386-6699,6371508997,Male,20,Books,5,925,Credit Card,26-09-2022,SM City Fairview
